id,department_id,organization_id,name,role,phone,email,active
Organization-009-Dept-02-Part-03,Organization-009-Dept-02,Organization-009,Christopher Robinson,Doctor,001-556-510-7902x601,phillipscott@henry.com,True
Organization-009-Dept-02-Part-04,Organization-009-Dept-02,Organization-009,Sharon Baker,Nurse,+1-890-532-4100,sarahmurphy@yahoo.com,True
Organization-009-Dept-02-Part-05,Organization-009-Dept-02,Organization-009,Sharon Holmes,Doctor,143.542.4490,joanbrown@white-navarro.com,True
Organization-009-Dept-02-Part-06,Organization-009-Dept-02,Organization-009,David Kidd,Doctor,+1-023-680-7183x9057,wiseashley@nguyen-thompson.com,True
Organization-009-Dept-02-Part-07,Organization-009-Dept-02,Organization-009,Michael Johnson,Doctor,673-133-5293,gabriel77@yahoo.com,False
Organization-009-Dept-02-Part-08,Organization-009-Dept-02,Organization-009,Sharon Leon,Doctor,604.467.8890x18796,ehart@douglas.com,True
Organization-009-Dept-02-Part-09,Organization-009-Dept-02,Organization-009,Catherine Harrington,Doctor,001-603-550-1623x13057,nrivas@nolan.com,True
Organization-009-Dept-02-Part-10,Organization-009-Dept-02,Organization-009,Katelyn Rhodes,Nurse,0045959564,jeremy45@hotmail.com,True
Organization-009-Dept-03-Part-01,Organization-009-Dept-03,Organization-009,Eric Black,Doctor,+1-912-985-5956,brittanyelliott@hotmail.com,True
Organization-009-Dept-03-Part-02,Organization-009-Dept-03,Organization-009,Joseph Ruiz,Nurse,(883)485-2456x12822,kenneth57@gmail.com,True
Organization-009-Dept-03-Part-03,Organization-009-Dept-03,Organization-009,Angel Harper,Nurse,(251)666-2496,david37@hotmail.com,True
Organization-009-Dept-03-Part-04,Organization-009-Dept-03,Organization-009,Ashley Morales,Doctor,854-707-1848x9384,diazamanda@gmail.com,True
Organization-009-Dept-03-Part-05,Organization-009-Dept-03,Organization-009,Brandon Mendoza,Nurse,967.530.5901,jennifer28@fernandez.net,True
Organization-009-Dept-03-Part-06,Organization-009-Dept-03,Organization-009,Dale Valdez,Doctor,(227)627-0497x84959,russellconnor@gmail.com,True
Organization-009-Dept-03-Part-07,Organization-009-Dept-03,Organization-009,Belinda Clark,Nurse,+1-046-291-8660x998,lauren89@yahoo.com,True
Organization-009-Dept-03-Part-08,Organization-009-Dept-03,Organization-009,Maria Duke,Doctor,810.976.3828x467,virginia90@sullivan-nash.com,True
Organization-009-Dept-03-Part-09,Organization-009-Dept-03,Organization-009,Dustin Garcia,Nurse,(958)955-3707,floresmichelle@yahoo.com,True
Organization-009-Dept-03-Part-10,Organization-009-Dept-03,Organization-009,Daniel Gutierrez,Nurse,930-786-6343x3154,kflores@burton.com,True
Organization-010-Dept-01-Part-01,Organization-010-Dept-01,Organization-010,Angela Sanders,Nurse,+1-026-397-5162x9434,taylor06@roach.info,True
Organization-010-Dept-01-Part-02,Organization-010-Dept-01,Organization-010,Kevin Perry,Nurse,001-711-161-8677x292,brooke04@smith-sawyer.com,True
Organization-010-Dept-01-Part-03,Organization-010-Dept-01,Organization-010,Stephanie Reed,Doctor,(501)019-5324,wigginsmartha@yahoo.com,True
Organization-010-Dept-01-Part-04,Organization-010-Dept-01,Organization-010,Kenneth Hernandez,Nurse,8428921288,pjackson@brennan.info,True
Organization-010-Dept-01-Part-05,Organization-010-Dept-01,Organization-010,Christy Washington,Doctor,001-030-993-5301x69239,christopher23@guerrero-park.org,True
Organization-010-Dept-01-Part-06,Organization-010-Dept-01,Organization-010,April Hendrix,Nurse,(075)976-1310,michaeljackson@lyons.biz,True
Organization-010-Dept-01-Part-07,Organization-010-Dept-01,Organization-010,Michael Rodriguez,Nurse,022-645-4623x66582,williamsmallory@jones.org,True
Organization-010-Dept-01-Part-08,Organization-010-Dept-01,Organization-010,Michael Rogers,Nurse,001-167-967-6288x2014,travis41@hotmail.com,True
Organization-010-Dept-01-Part-09,Organization-010-Dept-01,Organization-010,Timothy Melton,Doctor,+1-144-192-6745,theath@hotmail.com,True
Organization-010-Dept-01-Part-10,Organization-010-Dept-01,Organization-010,Megan Perry,Doctor,780.271.0225x607,joseph40@hotmail.com,True
Organization-010-Dept-02-Part-01,Organization-010-Dept-02,Organization-010,Bethany Clay,Nurse,532-086-8808x17625,weekstyler@barnett.org,True
Organization-010-Dept-02-Part-02,Organization-010-Dept-02,Organization-010,Julie Diaz,Doctor,(952)576-0661x9472,joanne73@oneal.com,True
Organization-010-Dept-02-Part-03,Organization-010-Dept-02,Organization-010,Holly Olson,Nurse,272-197-1629x751,ashleymay@watson-sanchez.org,True
Organization-010-Dept-02-Part-04,Organization-010-Dept-02,Organization-010,James Shaffer II,Doctor,429-417-3450x4249,roberthenry@long-simpson.info,True
Organization-010-Dept-02-Part-05,Organization-010-Dept-02,Organization-010,Linda Ortiz,Doctor,(143)034-1186,kim65@patterson.info,True
Organization-010-Dept-02-Part-06,Organization-010-Dept-02,Organization-010,Kristen Potts,Nurse,250-998-2824x7180,stephanie02@reynolds.com,True
Organization-010-Dept-02-Part-07,Organization-010-Dept-02,Organization-010,Brandon Stewart,Doctor,400-602-9217,michael51@meyer-smith.com,True
Organization-010-Dept-02-Part-08,Organization-010-Dept-02,Organization-010,Terry Williams,Nurse,(842)967-2356x4409,yjones@yahoo.com,True
Organization-010-Dept-02-Part-09,Organization-010-Dept-02,Organization-010,Bethany Rowe,Nurse,+1-117-857-1577x623,peter16@brown.biz,True
Organization-010-Dept-02-Part-10,Organization-010-Dept-02,Organization-010,Elizabeth Smith,Doctor,923-080-8277,tammie90@rosario-johnson.org,True
Organization-010-Dept-03-Part-01,Organization-010-Dept-03,Organization-010,Valerie Williams,Doctor,001-390-384-0161,fisherdaniel@rivera.net,True
Organization-010-Dept-03-Part-02,Organization-010-Dept-03,Organization-010,Angela Silva,Doctor,369.446.4753x64086,anthonyhenderson@yahoo.com,True
Organization-010-Dept-03-Part-03,Organization-010-Dept-03,Organization-010,Roy Fletcher,Nurse,869-563-8521x698,walljay@kelly.com,True
Organization-010-Dept-03-Part-04,Organization-010-Dept-03,Organization-010,Brian Winters,Nurse,857-074-4723x86435,zmassey@yahoo.com,True
Organization-010-Dept-03-Part-05,Organization-010-Dept-03,Organization-010,Christine Carr,Doctor,(709)265-1689x75942,ycurtis@hotmail.com,True
Organization-010-Dept-03-Part-06,Organization-010-Dept-03,Organization-010,Alexander Frank,Doctor,8263729736,adam36@schultz.com,True
Organization-010-Dept-03-Part-07,Organization-010-Dept-03,Organization-010,Christopher Jennings,Doctor,684-462-6208,lewiscolleen@yahoo.com,True
Organization-010-Dept-03-Part-08,Organization-010-Dept-03,Organization-010,Keith Hawkins,Doctor,221-199-8614,adam94@hotmail.com,True
Organization-010-Dept-03-Part-09,Organization-010-Dept-03,Organization-010,Carl Jones,Nurse,514-799-1860x17414,wilsonteresa@gmail.com,True
Organization-010-Dept-03-Part-10,Organization-010-Dept-03,Organization-010,Michael Kent,Doctor,388.425.9347x74876,mendezjay@gmail.com,True
Organization-010-Dept-04-Part-01,Organization-010-Dept-04,Organization-010,Gregg Alexander,Doctor,628-867-5538,bradley03@foster.com,True
Organization-010-Dept-04-Part-02,Organization-010-Dept-04,Organization-010,Kimberly Mason,Nurse,715-066-6442,lisa92@yahoo.com,True
Organization-010-Dept-04-Part-03,Organization-010-Dept-04,Organization-010,Jacob Smith,Doctor,3235268979,smithbenjamin@hotmail.com,True
Organization-010-Dept-04-Part-04,Organization-010-Dept-04,Organization-010,Natalie Williamson,Doctor,(795)535-1607,kingmary@ramirez-perry.com,True
Organization-010-Dept-04-Part-05,Organization-010-Dept-04,Organization-010,Jennifer Garrison,Doctor,751.810.0722x96673,moranlogan@hotmail.com,False
Organization-010-Dept-04-Part-06,Organization-010-Dept-04,Organization-010,Daniel Nash,Doctor,(231)349-9607x0737,qcruz@clayton.net,True
Organization-010-Dept-04-Part-07,Organization-010-Dept-04,Organization-010,Adam Hayes,Doctor,102.566.6484x84728,thomasthompson@patel.biz,True
Organization-010-Dept-04-Part-08,Organization-010-Dept-04,Organization-010,Jeremy Montes,Nurse,848.486.9431,ariel84@wilson.biz,True
Organization-010-Dept-04-Part-09,Organization-010-Dept-04,Organization-010,Mr. Sean Smith,Doctor,612-626-0049x10213,lcampbell@gmail.com,True
Organization-010-Dept-04-Part-10,Organization-010-Dept-04,Organization-010,Allison Hawkins,Doctor,785.633.2087,wilsonvanessa@mcfarland.com,True
Organization-010-Dept-05-Part-01,Organization-010-Dept-05,Organization-010,Jeanne Higgins,Nurse,(443)087-9986,dustinbautista@yahoo.com,True
Organization-010-Dept-05-Part-02,Organization-010-Dept-05,Organization-010,Marilyn Baldwin,Nurse,3867677776,nashdebbie@gmail.com,True
Organization-010-Dept-05-Part-03,Organization-010-Dept-05,Organization-010,Kelly Moore,Nurse,330-508-9218x3427,bowerscarl@roberts.com,True
Organization-010-Dept-05-Part-04,Organization-010-Dept-05,Organization-010,Rachel Blankenship,Doctor,444.311.9200,cgraham@oneill.com,True
Organization-010-Dept-05-Part-05,Organization-010-Dept-05,Organization-010,Dominique Duncan,Doctor,+1-693-638-3197x87008,kball@hotmail.com,True
Organization-010-Dept-05-Part-06,Organization-010-Dept-05,Organization-010,Daniel Jenkins,Doctor,001-466-149-2652x2967,rwood@hotmail.com,True
Organization-010-Dept-05-Part-07,Organization-010-Dept-05,Organization-010,Alicia Thomas,Nurse,+1-943-402-9302,greenstephanie@mclaughlin.com,True
Organization-010-Dept-05-Part-08,Organization-010-Dept-05,Organization-010,James Walker,Nurse,001-629-839-2518,thomasrobert@smith.com,True
Organization-010-Dept-05-Part-09,Organization-010-Dept-05,Organization-010,Ashley Mcbride,Nurse,(698)976-6225x359,moorealbert@gmail.com,True
Organization-010-Dept-05-Part-10,Organization-010-Dept-05,Organization-010,Andrew Graham,Nurse,001-918-068-0134x049,josejuarez@lawrence.com,True
